	Iozone: Performance Test of File I/O
	        Version $Revision: 3.347 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li.

	Run began: Sun Jun 20 17:02:13 2010

	Auto Mode
	Using maximum file size of 8388608 kilobytes.
	Command line used: ./iozone -i0 -i1 -a -g 8g
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  500060 1029254  3363612  3541098                                                                          
              64       8  577521 1143223  3791156  4274062                                                                          
              64      16  598110 1183548  3958892  4274062                                                                          
              64      32  653436 1255511  3738358  4018152                                                                          
              64      64  666414 1255511  3738358  4018152                                                                          
             128       4  542400 1123617  3445772  3560017                                                                          
             128       8  566435 1240443  4012317  4267461                                                                          
             128      16  677178 1278855  4012317  4267461                                                                          
             128      32  711270 1332828  3867787  4012317                                                                          
             128      64  723735 1336145  4012317  4104338                                                                          
             128     128  739689 1359835  4135958  4407601                                                                          
             256       4  568777 1142514  3410808  3605511                                                                          
             256       8  621448 1286217  3557725  4332998                                                                          
             256      16  699139 1340826  4009406  4197489                                                                          
             256      32  725596 1384034  3935921  4132864                                                                          
             256      64  725106 1405778  3994490  4264168                                                                          
             256     128  753077 1445521  4132864  4350555                                                                          
             256     256  757326 1430119  4197489  4332998                                                                          
             512       4  573303 1163439  3409755  3580298                                                                          
             512       8  656360 1302447  4061007  4228947                                                                          
             512      16  704137 1358474  3970896  4131319                                                                          
             512      32  740050 1399189  3913012  4091959                                                                          
             512      64  752761 1434711  4061007  4195896                                                                          
             512     128  768658 1414860  4123387  4305250                                                                          
             512     256  776721 1442420  4131319  4305250                                                                          
             512     512  766464 1459080  4123387  4340054                                                                          
            1024       4  584126 1153071  3345496  3390391                                                                          
            1024       8  659768 1279861  3955557  4249053                                                                          
            1024      16  714659 1370965  3314514  4130547                                                                          
            1024      32  761815 1416636  3923040  4079544                                                                          
            1024      64  747496 1448162  3751699  4215688                                                                          
            1024     128  777537 1458984  3314514  4228138                                                                          
            1024     256  785357 1469467  4110780  4304412                                                                          
            1024     512  762491 1473500  3863055  4265934                                                                          
            1024    1024  757382 1462462  3984917  3458646                                                                          
            2048       4  584476 1172238  3246623  3494960                                                                          
            2048       8  664043 1316100  3806235  4146110                                                                          
            2048      16  716855 1341170  3650932  4014352                                                                          
            2048      32  747743 1427182  3730203  4023754                                                                          
            2048      64  766766 1466909  3878414  4122233                                                                          
            2048     128  774649 1480817  3709263  4063729                                                                          
            2048     256  785271 1483118  3430751  3915540                                                                          
            2048     512  781129 1487227  3683812  4054139                                                                          
            2048    1024  754309 1455475  3598924  3878414                                                                          
            2048    2048  709630 1345582  3029098  3165272                                                                          
            4096       4  566846 1147021  2826656  3005151                                                                          
            4096       8  662144 1284398  3128843  3393349                                                                          
            4096      16  716968 1369480  3180393  3429933                                                                          
            4096      32  748388 1194140  3202328  3425146                                                                          
            4096      64  751433 1436587  3172758  3546038                                                                          
            4096     128  767170 1445897  3310948  3583764                                                                          
            4096     256  771199 1426093  3474326  3598778                                                                          
            4096     512  755165 1420668  3393349  3450600                                                                          
            4096    1024  733655 1365779  3124291  3340563                                                                          
            4096    2048  688963 1228554  2412291  2467377                                                                          
            4096    4096  625067 1128338  1908703  1912102                                                                          
            8192       4  548362 1060852  2658845  2753668                                                                          
            8192       8  620370 1169621  3026275  3187712                                                                          
            8192      16  685456 1218698  3106440  3249514                                                                          
            8192      32  697789 1274811  3118564  3280539                                                                          
            8192      64  716397 1292554  3136499  3343751                                                                          
            8192     128  727655 1296603  3241544  3391944                                                                          
            8192     256  728056 1283813  3298174  3433293                                                                          
            8192     512  710134 1594063  3222694  3383927                                                                          
            8192    1024  692599 1212890  2954201  3119697                                                                          
            8192    2048  654585 1098112  2232049  2267998                                                                          
            8192    4096  638706 1046633  1775072  1755662                                                                          
            8192    8192  615613 1028771  1607562  1611030                                                                          
           16384       4  624054 1017963  2621799  2716205                                                                          
           16384       8  688028 1083377  2960157  3114297                                                                          
           16384      16  756457 1197562  3072798  3186353                                                                          
           16384      32  721799 1375660  3081341  3216329                                                                          
           16384      64  767396 1208088  3184434  3321417                                                                          
           16384     128  730290 1206646  3256568  3195540                                                                          
           16384     256  764928 1213614  3250099  3399294                                                                          
           16384     512  762974 1202591  3241208  3392749                                                                          
           16384    1024  736521 1149831  2978891  3176485                                                                          
           16384    2048  696240 1058316  2230658  2289824                                                                          
           16384    4096  687766 1027922  1699933  1707748                                                                          
           16384    8192  670926 1078040  1515487  1525072                                                                          
           16384   16384  668023 1024642  1552533  1562594                                                                          
           32768      64  787143 1284862  3169000  3288657                                                                          
           32768     128  804933 1251358  3224540  3339884                                                                          
           32768     256  805466 1242107  3267003  3388216                                                                          
           32768     512  812984 1239944  3260493  3387882                                                                          
           32768    1024  786764 1200604  3085478  3224615                                                                          
           32768    2048  735302 1092451  2267078  2349793                                                                          
           32768    4096  739966 1050123  1683789  1713642                                                                          
           32768    8192  744233 1084101  1527730  1537609                                                                          
           32768   16384  743444 1084033  1527781  1500362                                                                          
           65536      64  835607 1280724  3370137  3518310                                                                          
           65536     128  847254 1304588  3465875  3343329                                                                          
           65536     256  852734 1314873  3350338  3519076                                                                          
           65536     512  840430 1304019  3430664  3528200                                                                          
           65536    1024  809865 1250617  3163377  3454897                                                                          
           65536    2048  756591 1126065  2425190  2505203                                                                          
           65536    4096  737569 1094565  1700379  1770951                                                                          
           65536    8192  750047 1091704  1546092  1547781                                                                          
           65536   16384  753243 1095642  1535417  1519671                                                                          
          131072      64  845223 1343020  3534843  3696662                                                                          
          131072     128  854050 1361658  3642798  3792470                                                                          
          131072     256  859590 1348962  3686128  3819451                                                                          
          131072     512  856209 1338958  3695171  3827482                                                                          
          131072    1024  827616 1294436  3582362  3682227                                                                          
          131072    2048  768457 1143623  2519402  2561103                                                                          
          131072    4096  754679 1102426  1777317  1787865                                                                          
          131072    8192  759247 1104460  1538618  1550176                                                                          
          131072   16384  754623 1107456  1523418  1532805                                                                          
          262144      64  860905 1355492  3612087  3834861                                                                          
          262144     128  869915 1361086  3790833  3894574                                                                          
          262144     256  870756 1374553  3793187  3909738                                                                          
          262144     512  869584 1362799  3822622  3909919                                                                          
          262144    1024  837138 1303764  3667327  3788038                                                                          
          262144    2048  772304 1150829  2533332  2600198                                                                          
          262144    4096  762292 1115966  1786134  1772597                                                                          
          262144    8192  759201 1112812  1545469  1555159                                                                          
          262144   16384  764087 1114401  1523800  1529391                                                                          
          524288      64  828345 1340396  3795530  3876318                                                                          
          524288     128  848512 1352226  3833356  3947560                                                                          
          524288     256  849327 1355993  3855366  3955989                                                                          
          524288     512  845370 1350916  3831479  3974163                                                                          
          524288    1024  799565 1278545  3733899  3778891                                                                          
          524288    2048  749254 1140671  2582711  2580244                                                                          
          524288    4096  734662 1107267  1782232  1792119                                                                          
          524288    8192  734583 1103648  1540950  1553385                                                                          
          524288   16384  732929 1054738  1520888  1529141                                                                          
         1048576      64  224891  181455  3836455  3928251                                                                          
         1048576     128  219629  182008  3889248  3972092                                                                          
         1048576     256  227128  181845  3887979  3987708                                                                          
         1048576     512  217224  182079  3902738  4002598                                                                          
         1048576    1024  216522  182380  3783683  3871898                                                                          
         1048576    2048  217805  180459  2599398  2633349                                                                          
         1048576    4096  222320  178248  1782061  1799799                                                                          
         1048576    8192  224476  181982  1544524  1551760                                                                          
         1048576   16384  219380  179171  1518814  1524511                                                                          
         2097152      64  116006  109501  3858115  3930157                                                                          
         2097152     128  116543  109892  3878529  3975137                                                                          
         2097152     256  116880  110241  3917961  3986131                                                                          
         2097152     512  116572  109514  3934744  4004599                                                                          
         2097152    1024  116267  109551  3801950  3883894                                                                          
         2097152    2048  114915  108975  2600396  2621852                                                                          
         2097152    4096  115798  108580  1789294  1802127                                                                          
         2097152    8192  114190  106063  1545673  1553618                                                                          
         2097152   16384  114927  107990  1521130  1526124                                                                          
         4194304      64   93196   89561    79185    79493                                                                          
         4194304     128   93542   89463    79885    79961                                                                          
         4194304     256   92931   88040    79628    79666                                                                          
         4194304     512   90940   88723    79132    79182                                                                          
         4194304    1024   91577   87602    78743    78718                                                                          
         4194304    2048   91307   87150    78350    78387                                                                          
         4194304    4096   90641   86804    78137    78307                                                                          
         4194304    8192   90491   87310    77718    77730                                                                          
         4194304   16384   89801   86286    77398    77374                                                                          
         8388608      64   80748   79525    74478    75269                                                                          
         8388608     128   80120   79018    74626    74649                                                                          
         8388608     256   78800   77515    73162    73200                                                                          
         8388608     512   76564   76472    72182    72208                                                                          
         8388608    1024   76253   75055    70500    70763                                                                          
         8388608    2048   74840   73581    67757    69415                                                                          
         8388608    4096   74219   72901    68751    68807                                                                          
         8388608    8192   71703   70459    66625    66647                                                                          
         8388608   16384   69777   68733    65057    65053                                                                          

iozone test complete.
